Area,Payment,Ownership,Status,Bedrooms,Bathrooms,PrivateGarden,price
162,Cash,Primary,Ready,3,2,Yes,"EGP 4,350,000"
160,Cash,Primary,Ready,3,2,Yes,"EGP 6,000,000"
160,Cash,Resale,Ready,3,2,Yes,"EGP 7,300,000"
140,Cash or Installment,Resale,Ready,3,2,Yes,"EGP 7,925,000"
140,Cash,Primary,Ready,3,3,Yes,"EGP 5,500,000"
170,Cash or Installment,Resale,Ready,3,3,Yes,"EGP 7,490,000"
235,Cash,Resale,Ready,3,4,Yes,"EGP 8,400,000"
235,Cash,Resale,Ready,3,3,Yes,"EGP 8,000,000"
235,Cash,Resale,Ready,3,3,No,"EGP 12,000,000"
135,Cash,Resale,Ready,3,2,Yes,"EGP 7,800,000"
170,Cash,Resale,Ready,3,3,Yes,"EGP 6,500,000"
165,Cash,Resale,Ready,3,2,No,"EGP 8,000,000"
165,Installment,Resale,Ready,3,3,No,"EGP 6,640,000"
145,Cash,Resale,Ready,3,3,No,"EGP 9,350,000"
135,Cash,Resale,Ready,3,2,No,"EGP 8,250,000"
155,Cash or Installment,Resale,Off-plan,3,3,No,"EGP 6,300,000"
110,Cash,Primary,Ready,2,2,Yes,"EGP 12,000,000"
160,Cash,Resale,Ready,3,3,No,"EGP 6,200,000"
90,Installment,Resale,Off-plan,1,1,No,"EGP 5,000,000"
160,Cash,Resale,Ready,3,3,No,"EGP 7,380,000"
190,Cash,Resale,Ready,3,3,No,"EGP 9,200,000"
130,Cash,Resale,Ready,2,2,No,"EGP 4,950,000"
135,Installment,Resale,Ready,3,2,No,"EGP 7,700,000"
170,Cash,Resale,Ready,3,3,No,"EGP 8,000,000"
160,Cash,Resale,Ready,3,3,No,"EGP 8,000,000"
155,Installment,Resale,Off-plan,3,3,No,"EGP 7,080,000"
230,Cash,Resale,Ready,3,3,No,"EGP 11,000,000"
170,Cash,Resale,Ready,3,3,No,"EGP 6,000,000"
180,Cash,Resale,Ready,3,3,No,"EGP 7,700,000"
170,Cash,Resale,Ready,3,3,No,"EGP 7,200,000"
155,Installment,Resale,Ready,3,3,No,"EGP 6,750,000"
140,Cash or Installment,Resale,Ready,3,3,Yes,"EGP 6,050,000"
165,Cash or Installment,Resale,Ready,3,3,No,"EGP 6,766,706"
155,Cash,Resale,Ready,3,3,No,"EGP 7,000,000"
175,Cash,Resale,Ready,3,3,Yes,"EGP 7,300,000"
205,Cash,Resale,Ready,3,3,Yes,"EGP 8,500,000"
205,Cash,Resale,Ready,3,3,Yes,"EGP 8,500,000"
185,Cash,Resale,Ready,3,3,Yes,"EGP 7,500,000"
165,Cash,Resale,Ready,3,3,Yes,"EGP 6,500,000"
165,Cash or Installment,Resale,Ready,3,3,No,"EGP 6,842,000"
135,Cash,Resale,Ready,2,2,No,"EGP 4,850,000"
170,Installment,Resale,Ready,3,3,No,"EGP 8,420,000"
155,Cash or Installment,Primary,Ready,3,3,Yes,"EGP 18,459,000"
170,Cash or Installment,Resale,Off-plan,3,3,Yes,"EGP 8,466,000"
160,Cash,Resale,Ready,3,3,Yes,"EGP 7,600,000"
155,Cash,Resale,Ready,3,3,Yes,"EGP 5,750,000"
170,Cash,Resale,Ready,3,3,Yes,"EGP 6,500,000"
175,Cash,Resale,Ready,3,3,Yes,"EGP 7,800,000"
235,Cash,Resale,Ready,3,4,No,"EGP 8,600,000"
170,Cash,Resale,Ready,3,3,Yes,"EGP 8,860,000"
165,Cash,Resale,Ready,3,3,No,"EGP 5,950,000"
235,Cash,Resale,Ready,3,3,No,"EGP 8,000,000"
155,Cash or Installment,Resale,Ready,3,3,No,"EGP 6,982,000"
135,Cash,Resale,Ready,3,3,No,"EGP 7,700,000"
170,Cash,Resale,Ready,3,3,Yes,"EGP 6,300,000"
160,Cash,Resale,Ready,3,3,Yes,"EGP 7,300,000"
175,Cash,Resale,Ready,3,3,Yes,"EGP 7,800,000"
125,Cash or Installment,Resale,Ready,2,1,Yes,"EGP 5,250,000"
140,Cash or Installment,Primary,Ready,2,2,Yes,"EGP 9,600,000"
170,Cash,Resale,Ready,3,2,Yes,"EGP 6,200,000"
140,Installment,Resale,Ready,3,3,No,"EGP 7,119,000"
205,Cash,Primary,Ready,3,3,No,"EGP 9,800,000"
145,Cash or Installment,Resale,Ready,3,3,No,"EGP 6,182,575"
170,Installment,Resale,Ready,3,3,No,"EGP 8,930,000"
150,Installment,Resale,Ready,3,3,No,"EGP 7,625,000"
140,Installment,Resale,Ready,3,3,No,"EGP 6,188,000"
170,Installment,Resale,Ready,3,3,No,"EGP 8,930,000"
170,Installment,Resale,Off-plan,4,4,No,"EGP 6,601,660"
245,Cash or Installment,Primary,Ready,4,3,No,"EGP 22,000,000"
124,Cash or Installment,Primary,Ready,2,1,No,"EGP 15,000,000"
90,Installment,Resale,Off-plan,2,1,No,"EGP 4,850,000"
175,Installment,Resale,Off-plan,3,3,No,"EGP 7,500,000"
145,Installment,Resale,Ready,3,3,No,"EGP 6,190,000"
160,Cash,Resale,Ready,3,3,No,"EGP 9,250,000"
165,Cash,Primary,Ready,3,3,No,"EGP 6,050,000"
170,Cash,Primary,Ready,3,3,No,"EGP 7,200,000"
220,Cash,Resale,Ready,4,4,No,"EGP 8,800,000"
235,Cash,Resale,Ready,4,3,No,"EGP 8,000,000"
120,Installment,Resale,Ready,2,2,No,"EGP 6,730,000"
165,Cash or Installment,Resale,Ready,3,3,No,"EGP 8,482,000"
170,Cash,Resale,Ready,3,3,No,"EGP 5,950,000"
134,Cash,Resale,Ready,3,2,Yes,"EGP 7,700,000"
180,Cash,Resale,Ready,3,3,No,"EGP 8,000,000"
179,Cash,Resale,Ready,3,3,No,"EGP 8,000,000"
235,Cash,Resale,Ready,3,3,No,"EGP 8,500,000"
125,Cash,Resale,Ready,2,1,Yes,"EGP 5,500,000"
165,Installment,Resale,Ready,3,3,No,"EGP 6,841,216"
155,Cash or Installment,Resale,Ready,3,3,Yes,"EGP 6,657,000"
140,Cash,Resale,Ready,2,2,No,"EGP 5,850,000"
160,Cash,Resale,Ready,3,3,No,"EGP 7,250,000"
160,Cash,Resale,Ready,3,3,Yes,"EGP 7,100,000"
167,Cash,Resale,Ready,3,3,No,"EGP 7,200,000"
225,Cash or Installment,Resale,Ready,4,2,Yes,"EGP 9,000,000"
175,Cash,Resale,Ready,3,3,No,"EGP 6,800,000"
180,Cash,Resale,Ready,3,3,No,"EGP 7,750,000"
165,Cash,Resale,Ready,3,3,No,"EGP 6,150,000"
155,Cash,Resale,Ready,3,3,No,"EGP 5,900,000"
140,Cash,Primary,Ready,2,3,No,"EGP 5,500,000"
165,Cash,Primary,Ready,3,3,No,"EGP 7,000,000"
140,Cash or Installment,Resale,Ready,3,3,Yes,"EGP 7,119,000"
155,Cash,Primary,Ready,3,2,No,"EGP 7,500,000"
160,Cash,Resale,Ready,3,3,Yes,"EGP 8,000,000"
140,Cash,Primary,Ready,2,2,Yes,"EGP 9,000,000"
175,Cash,Primary,Ready,3,3,No,"EGP 7,200,000"
210,Cash,Resale,Ready,3,3,Yes,"EGP 9,000,000"
180,Cash,Resale,Ready,3,3,No,"EGP 6,500,000"
235,Cash,Primary,Ready,3,2,No,"EGP 11,500,000"
150,Installment,Resale,Ready,3,3,No,"EGP 7,388,415"
135,Installment,Resale,Ready,3,3,No,"EGP 8,007,000"
155,Installment,Resale,Off-plan,3,3,Yes,"EGP 7,035,000"
140,Cash or Installment,Primary,Ready,2,2,Yes,"EGP 16,900,000"
160,Cash,Resale,Ready,3,3,No,"EGP 7,300,000"
173,Cash,Primary,Ready,3,3,No,"EGP 6,455,000"
170,Cash or Installment,Primary,Ready,3,3,Yes,"EGP 13,820,000"
235,Cash,Primary,Ready,3,3,Yes,"EGP 8,000,000"
170,Installment,Primary,Ready,3,3,Yes,"EGP 14,500,000"
140,Cash or Installment,Primary,Off-plan,3,2,Yes,"EGP 12,718,912"
155,Installment,Resale,Ready,3,3,Yes,"EGP 7,000,000"
140,Cash,Resale,Ready,3,3,No,"EGP 6,455,000"
185,Cash,Resale,Ready,4,4,No,"EGP 6,750,000"
165,Cash,Resale,Ready,3,3,No,"EGP 5,900,000"
139,Installment,Resale,Ready,3,3,No,"EGP 6,000,000"
160,Cash,Resale,Ready,3,3,Yes,"EGP 7,000,000"
235,Installment,Resale,Off-plan,3,3,No,"EGP 10,607,000"
155,Installment,Resale,Ready,3,3,No,"EGP 6,780,000"
205,Cash,Resale,Ready,3,3,No,"EGP 8,300,000"
125,Cash,Resale,Ready,2,2,No,"EGP 5,500,000"
170,Installment,Resale,Ready,3,3,No,"EGP 8,082,255"
155,Cash,Resale,Ready,3,3,No,"EGP 6,500,000"
130,Cash,Resale,Ready,2,2,No,"EGP 4,950,000"
