Area,PrivateGarden,price,total_rooms,Payment_Cash or Installment,Payment_Installment,Ownership_Primary,Status_Off-plan
160.0,1,7100000.0,6.0,False,False,False,False
167.0,0,7200000.0,6.0,False,False,False,False
225.0,1,9000000.0,6.0,True,False,False,False
175.0,0,6800000.0,6.0,False,False,False,False
180.0,0,7750000.0,6.0,False,False,False,False
165.0,0,6150000.0,6.0,False,False,False,False
155.0,0,5900000.0,6.0,False,False,False,False
140.0,0,5500000.0,5.0,False,False,True,False
165.0,0,7000000.0,6.0,False,False,True,False
140.0,1,7119000.0,6.0,True,False,False,False
155.0,0,7500000.0,5.0,False,False,True,False
160.0,1,8000000.0,6.0,False,False,False,False
140.0,1,9000000.0,4.0,False,False,True,False
175.0,0,7200000.0,6.0,False,False,True,False
210.0,1,9000000.0,6.0,False,False,False,False
180.0,0,6500000.0,6.0,False,False,False,False
235.0,0,11500000.0,5.0,False,False,True,False
150.0,0,7388415.0,6.0,False,True,False,False
135.0,0,8007000.0,6.0,False,True,False,False
155.0,1,7035000.0,6.0,False,True,False,True
140.0,1,16900000.0,4.0,True,False,True,False
160.0,0,7300000.0,6.0,False,False,False,False
173.0,0,6455000.0,6.0,False,False,True,False
170.0,1,13820000.0,6.0,True,False,True,False
235.0,1,8000000.0,6.0,False,False,True,False
170.0,1,14500000.0,6.0,False,True,True,False
140.0,1,12718912.0,5.0,True,False,True,True
155.0,1,7000000.0,6.0,False,True,False,False
140.0,0,6455000.0,6.0,False,False,False,False
185.0,0,6750000.0,8.0,False,False,False,False
165.0,0,5900000.0,6.0,False,False,False,False
139.0,0,6000000.0,6.0,False,True,False,False
160.0,1,7000000.0,6.0,False,False,False,False
235.0,0,10607000.0,6.0,False,True,False,True
155.0,0,6780000.0,6.0,False,True,False,False
205.0,0,8300000.0,6.0,False,False,False,False
125.0,0,5500000.0,4.0,False,False,False,False
170.0,0,8082255.0,6.0,False,True,False,False
155.0,0,6500000.0,6.0,False,False,False,False
130.0,0,4950000.0,4.0,False,False,False,False
165.0,0,7000000.0,6.0,False,False,False,False
155.0,0,5800000.0,6.0,False,False,False,False
235.0,0,8000000.0,7.0,False,False,False,False
180.0,0,7000000.0,6.0,False,False,False,False
180.0,0,6800000.0,6.0,False,False,False,False
170.0,0,8000000.0,6.0,False,False,False,False
145.0,1,8800000.0,6.0,False,False,False,False
135.0,0,7700000.0,5.0,False,False,False,False
160.0,0,7200000.0,6.0,False,False,False,False
160.0,0,7200000.0,6.0,False,False,False,False
170.0,0,6250000.0,6.0,False,False,False,False
165.0,0,5950000.0,6.0,False,False,False,False
160.0,0,5900000.0,6.0,False,False,False,False
140.0,0,8960960.0,6.0,False,True,False,False
160.0,0,6800000.0,6.0,False,False,False,False
170.0,0,6090000.0,6.0,False,False,False,False
140.0,0,9730000.0,6.0,False,True,False,False
165.0,0,6250000.0,6.0,False,False,False,False
160.0,0,10000000.0,6.0,False,False,False,False
235.0,0,8000000.0,6.0,False,False,False,False
155.0,0,7000000.0,6.0,True,False,True,False
165.0,1,7770000.0,6.0,False,False,False,False
135.0,0,4900000.0,4.0,False,True,False,False
175.0,0,7250000.0,6.0,False,False,False,False
165.0,0,7042000.0,6.0,False,True,False,False
165.0,0,6200000.0,6.0,False,False,False,False
150.0,1,10580000.0,5.0,False,False,True,False
130.0,0,5800000.0,5.0,False,False,False,False
110.0,0,7300000.0,4.0,False,True,False,True
70.0,0,5250000.0,3.0,False,True,False,False
180.0,0,6672740.0,6.0,False,True,False,True
160.0,1,7300000.0,6.0,False,False,False,False
180.0,1,6800000.0,6.0,False,False,False,False
165.0,1,6927940.0,6.0,False,True,False,True
165.0,0,6930000.0,6.0,False,True,False,True
160.0,0,6500000.0,6.0,False,False,False,False
130.0,0,5800000.0,5.0,False,False,False,False
70.0,0,5750000.0,2.0,False,True,False,False
165.0,0,6180000.0,6.0,False,True,False,True
160.0,1,7500000.0,6.0,False,False,False,False
150.0,1,11500000.0,5.0,True,False,True,False
155.0,0,6500000.0,5.0,False,False,False,False
155.0,1,6500000.0,5.0,False,False,False,False
160.0,0,7520000.0,6.0,False,False,False,False
160.0,0,7200000.0,6.0,False,False,False,False
110.0,0,4690000.0,4.0,False,False,False,False
165.0,0,6100000.0,6.0,False,False,False,False
155.0,0,6480000.0,6.0,False,True,False,True
140.0,0,6250000.0,6.0,False,False,False,False
160.0,0,7200000.0,6.0,False,False,False,False
125.0,1,5800000.0,5.0,False,False,False,False
140.0,0,5500000.0,6.0,False,False,False,False
165.0,0,6465000.0,6.0,False,True,False,False
165.0,0,7000000.0,6.0,False,False,False,False
165.0,1,6758419.0,6.0,True,False,False,False
155.0,0,6737000.0,6.0,True,False,False,False
160.0,0,7400000.0,6.0,False,False,False,False
110.0,1,5500000.0,4.0,False,False,True,False
160.0,0,7300000.0,6.0,False,False,False,False
155.0,0,6380000.0,6.0,True,False,False,False
170.0,1,8300000.0,6.0,False,False,False,False
165.0,0,5950000.0,6.0,False,False,False,False
235.0,0,9041410.0,6.0,False,True,False,False
90.0,1,4616000.0,3.0,True,False,False,False
165.0,0,6180000.0,6.0,False,True,False,True
180.0,0,7000000.0,6.0,False,False,True,False
165.0,0,6532240.0,6.0,False,True,False,False
170.0,0,6300000.0,6.0,False,False,True,False
70.0,0,3730000.0,2.0,True,False,False,False
170.0,1,8920000.0,6.0,False,False,False,False
140.0,1,15000000.0,5.0,True,False,True,False
135.0,0,7700000.0,6.0,False,False,False,False
155.0,0,6000000.0,6.0,False,False,False,False
140.0,1,5500000.0,5.0,False,False,False,False
170.0,1,8300000.0,6.0,False,False,False,False
155.0,1,5900000.0,6.0,False,False,True,False
180.0,1,7750000.0,6.0,False,False,True,False
140.0,1,6400000.0,6.0,False,True,False,False
90.0,1,11000000.0,4.0,True,False,False,False
170.0,0,6250000.0,6.0,False,False,False,False
165.0,0,7500000.0,6.0,False,False,False,False
165.0,0,6530000.0,6.0,False,True,False,False
165.0,1,6150000.0,6.0,False,False,True,False
145.0,1,6200000.0,5.0,False,False,False,False
175.0,1,8270000.0,6.0,False,False,False,False
155.0,1,5900000.0,6.0,False,False,True,False
170.0,0,6000000.0,6.0,False,False,True,False
145.0,0,5350000.0,6.0,False,False,True,False
165.0,0,5250000.0,6.0,False,False,True,False
165.0,0,6520000.0,6.0,False,True,False,True
155.0,0,5000000.0,6.0,False,False,True,False
155.0,0,5000000.0,6.0,False,False,True,False
155.0,0,5000000.0,6.0,False,False,True,False
170.0,0,5950000.0,6.0,False,False,True,False
170.0,0,6250000.0,6.0,False,False,False,False
145.0,0,5550000.0,4.0,False,False,False,False
165.0,0,5950000.0,6.0,False,False,True,False
141.0,1,5000000.0,6.0,False,False,True,False
160.0,1,16000000.0,6.0,False,True,True,False
155.0,0,7300000.0,6.0,False,False,False,False
160.0,1,9000000.0,5.0,False,False,True,False
160.0,1,9800000.0,6.0,False,False,True,False
165.0,1,10200000.0,6.0,False,False,True,False
165.0,0,6730000.0,6.0,False,True,False,True
160.0,1,4800000.0,6.0,False,False,True,False
180.0,0,8650000.0,6.0,False,False,False,False
160.0,1,6600000.0,5.0,False,False,True,False
140.0,0,6188000.0,6.0,False,True,False,False
174.0,0,6600000.0,6.0,False,False,False,False
160.0,0,6000000.0,6.0,False,False,False,False
140.0,0,6250000.0,6.0,False,False,False,False
165.0,0,6977940.0,6.0,False,True,False,False
145.0,1,8800000.0,6.0,False,False,False,False
180.0,1,11500000.0,6.0,True,False,False,False
170.0,1,7500000.0,6.0,False,False,False,False
180.0,1,9000000.0,6.0,False,False,False,False
160.0,1,7200000.0,5.0,False,False,False,False
170.0,0,6000000.0,6.0,False,False,True,False
160.0,1,6650000.0,6.0,False,False,False,False
115.0,1,6277391.0,4.0,False,True,False,True
165.0,0,5250000.0,6.0,False,False,True,False
145.0,0,5350000.0,6.0,False,False,True,False
140.0,0,5500000.0,5.0,False,False,True,False
240.0,0,9200000.0,6.0,False,False,True,False
165.0,0,5250000.0,6.0,False,False,True,False
135.0,0,7700000.0,6.0,False,False,True,True
140.0,0,7200000.0,6.0,False,False,True,False
131.0,0,6900000.0,4.0,False,False,True,False
120.0,0,7000000.0,4.0,False,False,True,True
150.0,1,10500000.0,6.0,True,False,True,True
165.0,0,7400000.0,6.0,False,False,True,False
160.0,0,7000000.0,6.0,False,False,True,False
165.0,1,5990000.0,6.0,True,False,False,False
140.0,0,7200000.0,4.0,False,False,True,False
155.0,0,7500000.0,6.0,True,False,True,False
160.0,1,6500000.0,6.0,False,False,False,False
160.0,0,6500000.0,6.0,False,False,False,False
160.0,1,7300000.0,6.0,False,False,False,False
165.0,0,6150000.0,6.0,False,False,True,False
160.0,0,6500000.0,6.0,False,False,False,False
169.0,0,8500000.0,6.0,False,False,False,False
132.0,0,9584806.0,4.0,True,False,False,False
155.0,1,7035000.0,6.0,False,True,False,False
150.0,0,6900000.0,6.0,False,True,False,False
235.0,0,8500000.0,6.0,False,False,False,False
235.0,0,9000000.0,6.0,False,False,False,False
170.0,0,8082255.0,6.0,False,True,False,False
130.0,0,6890000.0,5.0,False,False,True,False
155.0,0,7300000.0,6.0,True,False,False,False
175.0,0,7975000.0,6.0,False,True,False,True
160.0,0,7300000.0,6.0,False,False,False,False
120.0,1,9309947.0,4.0,True,False,True,False
160.0,1,13224032.0,6.0,True,False,True,False
160.0,1,8000000.0,5.0,False,False,True,False
140.0,1,7000000.0,4.0,False,False,True,False
220.0,1,9000000.0,5.0,False,False,False,False
90.0,0,5000000.0,2.0,False,True,False,True
170.0,0,7732255.0,6.0,False,True,False,True
160.0,0,7250000.0,6.0,False,False,False,False
175.0,0,8500000.0,6.0,False,False,False,False
170.0,0,6100000.0,6.0,False,False,False,False
110.0,0,4690000.0,4.0,False,False,True,False
170.0,0,6250000.0,6.0,False,False,False,False
175.0,0,7500000.0,7.0,False,False,False,False
155.0,0,6780000.0,6.0,False,True,False,False
131.0,0,6000000.0,4.0,False,False,False,False
131.0,0,6000000.0,4.0,False,False,False,False
170.0,1,8300000.0,6.0,False,False,False,False
140.0,0,5500000.0,5.0,False,False,True,False
145.0,1,9290000.0,6.0,False,True,False,False
125.0,1,8190000.0,5.0,False,True,False,False
165.0,0,5940000.0,6.0,True,False,False,False
160.0,0,10000000.0,6.0,False,False,False,False
235.0,0,8000000.0,7.0,False,False,False,False
155.0,0,6480000.0,6.0,True,False,False,False
125.0,0,5500000.0,3.0,False,False,False,False
155.0,0,6430000.0,6.0,False,True,False,True
174.0,0,8200000.0,6.0,False,False,False,False
160.0,0,7000000.0,6.0,False,False,True,False
160.0,0,7000000.0,6.0,False,False,False,False
132.0,0,6850000.0,5.0,False,True,True,False
132.0,0,6850000.0,5.0,False,True,True,False
132.0,0,6850000.0,5.0,False,True,True,False
132.0,0,6850000.0,5.0,False,True,True,False
132.0,0,6850000.0,5.0,False,True,True,False
135.0,1,7580000.0,5.0,False,False,True,False
135.0,1,7580000.0,5.0,False,False,True,False
135.0,1,7580000.0,5.0,False,False,True,False
135.0,1,7580000.0,5.0,False,False,True,False
135.0,1,7580000.0,5.0,False,False,True,False
235.0,0,8600000.0,8.0,False,False,False,False
